一月                いちがつ                           January
二月                にがつ                             February
三月                さんがつ                           March
四月                よんがつ                           April
五月                ごがつ                             May
六月                ろくがつ                           June
七月                しちがつ                           July
八月                はちがつ                           August
九月                くがつ                             September
十月                じゅうがつ                         October
十一月              じゅういちがつ                     November
十二月              じゅうにがつ                       December
大学                だいがく                           College, university
先生                せんせい                           Teacher, master, doctor
学校                がっこう                           School
学生                がくせい                           Student
学年                がくねん                           Academic year, grade in school
学力                がくりょく                         Scholarly ability, knowledge
雨                  あめ                               Rain
花                  はな                               Flower
人                  ひと                               Person
山                  やま                               Mountain
目                  め                                 Eye
耳                  みみ                               Ear
円                  えん                               Yen
日曜日              にちようび                         Sunday
月曜日              げつようび                         Monday
火曜日              かようび                           Tuesday
水曜日              すいようび                         Wednesday
木曜日              もくようび                         Thursday
金曜日              きんようび                         Friday
土曜日              どようび                           Saturday
